"client_id","age","district_id","gender","constellation"
78,"56",16,"female","Gemini"
79,"31",37,"female","Pisces"
80,"21",64,"female","Pisces"
81,"24",8,"male","Taurus"
82,"21",8,"female","Capricom"
83,"22",1,"female","Capricom"
84,"21",1,"male","Taurus"
85,"39",1,"male","Virgo"
86,"31",1,"female","Cancer"
87,"54",72,"female","Scorpio"
89,"49",1,"female","Taurus"
90,"25",52,"male","Leo"
91,"60",63,"male","Leo"
92,"34",74,"female","Gemini"
93,"75",3,"male","Aquarius"
94,"53",43,"male","Virgo"
95,"48",43,"female","Leo"
96,"28",74,"male","Pisces"
97,"35",26,"male","Sagittarius"
98,"27",33,"female","Taurus"
99,"27",33,"male","Aquarius"
100,"58",44,"female","Leo"
101,"57",68,"male","Aquarius"
102,"42",74,"female","Virgo"
103,"45",74,"male","Cancer"
105,"20",31,"male","Gemini"
106,"32",68,"female","Capricom"
107,"28",1,"male","Cancer"
108,"37",17,"male","Virgo"
110,"33",2,"female","Aries"
112,"65",1,"male","Aquarius"
113,"60",1,"female","Leo"
114,"31",74,"female","Cancer"
115,"31",74,"male","Capricom"
116,"58",74,"male","Aquarius"
117,"64",74,"female","Virgo"
118,"78",55,"male","Cancer"
119,"78",55,"female","Pisces"
120,"24",1,"male","Taurus"
121,"22",41,"female","Scorpio"
122,"37",35,"female","Scorpio"
123,"31",11,"male","Aquarius"
124,"33",44,"male","Virgo"
125,"64",37,"male","Scorpio"
126,"71",37,"female","Libra"
127,"50",21,"female","Capricom"
128,"27",63,"female","Aries"
129,"53",64,"female","Gemini"
130,"58",53,"male","Aquarius"
131,"23",53,"female","Aquarius"
132,"47",36,"male","Aquarius"
134,"68",6,"male","Capricom"
135,"62",6,"female","Virgo"
136,"79",55,"female","Aquarius"
137,"77",60,"male","Virgo"
138,"28",54,"female","Libra"
139,"41",8,"female","Leo"
140,"39",8,"male","Gemini"
141,"75",31,"male","Scorpio"
142,"63",68,"male","Gemini"
143,"22",27,"male","Cancer"
144,"42",65,"male","Sagittarius"
145,"22",55,"male","Aquarius"
146,"39",31,"female","Sagittarius"
147,"67",21,"female","Scorpio"
148,"60",21,"male","Capricom"
149,"52",55,"male","Cancer"
150,"20",2,"female","Libra"
151,"29",51,"female","Libra"
152,"55",29,"female","Sagittarius"
153,"19",13,"female","Aquarius"
154,"67",74,"male","Virgo"
155,"61",74,"female","Pisces"
156,"70",54,"female","Cancer"
157,"57",52,"female","Cancer"
158,"55",40,"female","Cancer"
159,"62",40,"male","Virgo"
160,"58",64,"female","Taurus"
161,"57",34,"female","Libra"
162,"59",65,"male","Libra"
163,"67",74,"male","Gemini"
164,"38",70,"female","Aries"
165,"32",22,"male","Scorpio"
166,"39",22,"female","Libra"
167,"22",38,"female","Aries"
168,"24",24,"female","Scorpio"
169,"47",38,"male","Virgo"
170,"54",38,"female","Gemini"
171,"71",51,"male","Cancer"
172,"65",51,"female","Libra"
173,"82",21,"female","Sagittarius"
174,"22",10,"male","Scorpio"
175,"40",31,"male","Cancer"
176,"71",4,"male","Pisces"
178,"40",8,"male","Sagittarius"
179,"20",43,"male","Capricom"
180,"18",73,"male","Aquarius"
181,"33",76,"male","Cancer"
182,"41",76,"female","Cancer"
183,"22",1,"female","Pisces"
184,"28",1,"male","Gemini"
185,"46",77,"male","Gemini"
186,"39",46,"female","Pisces"
187,"58",58,"male","Virgo"
188,"40",64,"male","Virgo"
189,"81",11,"male","Leo"
190,"53",37,"female","Scorpio"
191,"46",37,"male","Virgo"
192,"29",70,"male","Pisces"
193,"38",1,"male","Taurus"
194,"76",28,"female","Sagittarius"
195,"81",74,"male","Scorpio"
196,"73",74,"female","Cancer"
197,"67",30,"male","Taurus"
198,"24",60,"male","Cancer"
199,"77",29,"male","Gemini"
200,"72",29,"female","Capricom"
201,"70",17,"female","Leo"
202,"24",29,"female","Scorpio"
203,"38",31,"male","Gemini"
204,"33",31,"female","Gemini"
205,"58",4,"female","Gemini"
206,"37",59,"female","Aries"
207,"68",46,"male","Taurus"
208,"60",13,"female","Cancer"
209,"65",13,"male","Leo"
210,"61",66,"male","Sagittarius"
211,"55",66,"female","Cancer"
212,"25",52,"male","Aquarius"
215,"33",71,"male","Libra"
216,"40",1,"male","Aquarius"
217,"26",59,"female","Sagittarius"
218,"20",1,"female","Aquarius"
219,"36",60,"female","Aries"
221,"23",21,"female","Pisces"
222,"28",47,"female","Cancer"
223,"48",43,"female","Pisces"
224,"45",77,"male","Taurus"
225,"64",32,"male","Taurus"
226,"58",1,"male","Gemini"
227,"74",52,"female","Sagittarius"
228,"44",48,"female","Pisces"
229,"31",76,"male","Cancer"
230,"33",74,"female","Pisces"
231,"59",41,"male","Aquarius"
232,"79",55,"female","Gemini"
233,"42",69,"female","Sagittarius"
234,"45",69,"male","Gemini"
235,"57",44,"female","Virgo"
236,"39",70,"male","Virgo"
237,"31",70,"female","Pisces"
238,"39",6,"female","Sagittarius"
239,"26",1,"female","Virgo"
240,"71",34,"female","Gemini"
241,"41",70,"male","Aquarius"
242,"39",17,"female","Leo"
243,"46",63,"male","Aquarius"
246,"30",67,"female","Capricom"
247,"43",1,"male","Taurus"
248,"31",61,"female","Sagittarius"
249,"30",61,"male","Taurus"
250,"21",8,"female","Sagittarius"
251,"24",54,"female","Pisces"
252,"31",37,"female","Virgo"
253,"53",48,"female","Taurus"
254,"37",28,"male","Gemini"
255,"49",27,"female","Libra"
256,"37",73,"female","Pisces"
257,"58",22,"female","Scorpio"
258,"63",22,"male","Gemini"
259,"34",31,"male","Gemini"
260,"38",31,"female","Pisces"
261,"63",38,"female","Sagittarius"
262,"55",77,"male","Sagittarius"
263,"38",68,"male","Taurus"
264,"22",28,"male","Leo"
265,"67",72,"female","Capricom"
266,"33",19,"female","Virgo"
267,"33",37,"male","Gemini"
268,"18",39,"female","Taurus"
269,"77",15,"female","Sagittarius"
270,"53",46,"male","Pisces"
271,"55",46,"female","Leo"
272,"56",70,"female","Scorpio"
273,"28",27,"female","Taurus"
274,"30",17,"female","Sagittarius"
275,"82",1,"female","Scorpio"
276,"43",1,"male","Gemini"
277,"39",1,"female","Sagittarius"
278,"28",22,"female","Capricom"
279,"30",22,"male","Taurus"
280,"31",45,"female","Sagittarius"
282,"62",73,"female","Pisces"
283,"67",73,"male","Scorpio"
284,"26",10,"male","Leo"
285,"46",72,"male","Gemini"
286,"48",72,"female","Aries"
287,"20",50,"male","Virgo"
288,"38",6,"male","Taurus"
289,"42",54,"male","Aries"
290,"41",72,"male","Capricom"
291,"45",72,"female","Taurus"
292,"42",15,"female","Virgo"
293,"57",69,"male","Libra"
294,"32",58,"male","Aries"
295,"61",12,"male","Aries"
296,"26",65,"male","Pisces"
297,"76",65,"female","Pisces"
298,"79",65,"male","Gemini"
300,"43",1,"female","Leo"
301,"58",28,"male","Capricom"
302,"29",56,"male","Pisces"
303,"54",74,"male","Taurus"
304,"66",19,"female","Pisces"
305,"62",46,"male","Gemini"
308,"24",68,"female","Gemini"
309,"31",37,"female","Sagittarius"
310,"50",11,"male","Aries"
311,"70",64,"female","Virgo"
312,"76",2,"male","Cancer"
313,"58",24,"female","Taurus"
314,"55",24,"male","Aries"
315,"33",54,"male","Taurus"
316,"45",75,"male","Taurus"
317,"43",64,"female","Libra"
318,"57",15,"female","Aries"
319,"71",19,"female","Aries"
320,"66",19,"male","Scorpio"
321,"57",47,"female","Scorpio"
322,"67",38,"male","Aquarius"
323,"62",38,"female","Aries"
324,"40",3,"male","Sagittarius"
325,"40",3,"male","Pisces"
326,"33",27,"female","Virgo"
327,"32",27,"male","Libra"
328,"82",1,"female","Aquarius"
329,"36",11,"male","Sagittarius"
330,"56",65,"female","Leo"
331,"58",1,"male","Pisces"
332,"22",29,"male","Leo"
333,"29",38,"male","Libra"
334,"31",32,"male","Scorpio"
335,"33",73,"female","Cancer"
336,"36",39,"female","Aquarius"
337,"43",39,"male","Taurus"
338,"49",8,"female","Gemini"
339,"34",1,"male","Leo"
340,"30",1,"female","Leo"
341,"23",69,"male","Pisces"
342,"28",69,"female","Cancer"
343,"81",44,"male","Scorpio"
344,"37",54,"female","Cancer"
345,"47",17,"male","Sagittarius"
346,"40",17,"female","Scorpio"
347,"41",71,"male","Sagittarius"
348,"47",71,"female","Aquarius"
349,"73",39,"female","Gemini"
350,"75",25,"female","Aries"
351,"27",1,"male","Taurus"
352,"60",56,"male","Virgo"
353,"35",7,"male","Scorpio"
354,"78",49,"female","Taurus"
355,"70",49,"male","Gemini"
356,"21",1,"female","Sagittarius"
357,"21",1,"male","Aries"
358,"41",7,"female","Cancer"
359,"30",66,"male","Aquarius"
360,"57",49,"male","Taurus"
361,"23",74,"female","Gemini"
362,"50",35,"female","Taurus"
363,"58",35,"male","Cancer"
364,"58",54,"female","Sagittarius"
365,"70",1,"male","Capricom"
366,"64",1,"female","Scorpio"
367,"37",60,"female","Virgo"
368,"32",60,"male","Libra"
369,"70",7,"female","Scorpio"
370,"44",71,"female","Capricom"
371,"58",4,"male","Cancer"
372,"68",34,"male","Aries"
373,"64",16,"male","Pisces"
374,"33",26,"male","Gemini"
375,"31",61,"female","Libra"
376,"27",14,"female","Capricom"
378,"22",50,"male","Taurus"
379,"17",50,"female","Libra"
380,"27",41,"male","Aquarius"
381,"23",73,"female","Aquarius"
382,"22",73,"male","Cancer"
383,"61",15,"female","Taurus"
384,"65",15,"male","Libra"
385,"52",45,"male","Aries"
386,"20",62,"male","Leo"
387,"73",76,"male","Gemini"
388,"50",36,"female","Scorpio"
389,"26",47,"female","Cancer"
390,"23",47,"female","Aquarius"
391,"67",47,"female","Gemini"
392,"50",74,"female","Aries"
393,"44",74,"male","Virgo"
394,"76",52,"female","Taurus"
395,"81",52,"male","Cancer"
396,"80",1,"male","Taurus"
397,"70",75,"male","Aries"
398,"75",61,"female","Aries"
399,"48",45,"male","Aries"
400,"67",1,"male","Capricom"
401,"72",1,"female","Scorpio"
402,"57",3,"male","Capricom"
403,"27",42,"female","Gemini"
404,"33",42,"male","Aries"
405,"66",65,"female","Libra"
406,"23",36,"male","Taurus"
407,"25",73,"female","Gemini"
408,"22",35,"female","Pisces"
409,"75",74,"male","Gemini"
410,"38",62,"male","Sagittarius"
411,"59",17,"female","Aries"
412,"56",17,"male","Aries"
413,"28",49,"female","Scorpio"
414,"53",46,"female","Libra"
415,"55",46,"male","Aries"
416,"68",1,"female","Libra"
417,"70",1,"male","Gemini"
418,"34",28,"male","Libra"
419,"30",64,"female","Libra"
420,"22",18,"male","Pisces"
421,"35",54,"male","Leo"
422,"54",69,"male","Sagittarius"
423,"43",37,"male","Cancer"
424,"53",1,"male","Libra"
425,"52",25,"male","Aquarius"
426,"63",72,"male","Gemini"
427,"59",72,"female","Virgo"
428,"81",47,"female","Scorpio"
429,"19",50,"female","Aquarius"
430,"80",39,"male","Leo"
431,"73",24,"female","Libra"
432,"48",59,"female","Aries"
433,"45",62,"male","Aquarius"
434,"57",70,"female","Aquarius"
435,"33",20,"male","Scorpio"
436,"45",2,"male","Gemini"
437,"80",11,"female","Capricom"
438,"62",32,"male","Libra"
439,"32",51,"female","Virgo"
440,"30",15,"female","Cancer"
441,"41",1,"male","Virgo"
442,"29",1,"female","Sagittarius"
443,"29",1,"male","Sagittarius"
444,"40",74,"female","Leo"
445,"53",1,"female","Taurus"
446,"48",1,"male","Pisces"
447,"54",23,"male","Virgo"
448,"30",77,"female","Leo"
450,"47",25,"male","Sagittarius"
451,"21",12,"male","Aries"
452,"47",55,"female","Libra"
453,"31",67,"male","Cancer"
454,"51",38,"female","Gemini"
455,"80",68,"male","Leo"
456,"60",25,"male","Pisces"
457,"50",70,"male","Libra"
458,"39",68,"male","Leo"
459,"33",32,"female","Leo"
461,"30",68,"female","Leo"
462,"30",14,"male","Sagittarius"
463,"56",38,"male","Aries"
464,"41",24,"female","Leo"
465,"48",5,"male","Virgo"
466,"53",1,"female","Scorpio"
467,"50",1,"male","Aries"
468,"41",72,"male","Taurus"
469,"30",59,"female","Libra"
470,"46",30,"female","Taurus"
471,"23",44,"male","Capricom"
472,"19",36,"male","Capricom"
473,"61",1,"female","Libra"
474,"51",46,"male","Gemini"
476,"53",1,"female","Gemini"
477,"46",1,"male","Cancer"
478,"22",21,"male","Gemini"
479,"53",11,"male","Leo"
480,"54",11,"female","Aquarius"
481,"73",69,"male","Aquarius"
482,"66",69,"female","Aquarius"
483,"56",1,"male","Gemini"
484,"41",28,"female","Virgo"
485,"22",32,"male","Taurus"
486,"56",68,"male","Aries"
487,"78",1,"female","Aries"
488,"83",1,"male","Leo"
489,"60",41,"male","Libra"
490,"50",55,"male","Scorpio"
491,"34",63,"male","Leo"
492,"65",72,"male","Scorpio"
493,"58",41,"female","Gemini"
494,"20",1,"male","Taurus"
495,"63",49,"female","Aries"
496,"49",70,"female","Gemini"
497,"47",74,"male","Aquarius"
498,"52",74,"female","Capricom"
499,"65",18,"female","Cancer"
500,"29",1,"male","Capricom"
501,"63",62,"male","Scorpio"
502,"81",6,"male","Sagittarius"
503,"41",73,"male","Leo"
504,"21",36,"male","Leo"
505,"23",13,"male","Sagittarius"
506,"54",75,"male","Leo"
507,"46",75,"male","Scorpio"
508,"29",53,"male","Taurus"
509,"20",73,"male","Taurus"
510,"24",12,"male","Aries"
511,"41",9,"male","Aquarius"
512,"35",60,"female","Leo"
513,"26",8,"female","Capricom"
514,"32",8,"male","Scorpio"
515,"68",1,"male","Gemini"
516,"70",1,"female","Taurus"
517,"35",63,"male","Leo"
518,"21",54,"female","Taurus"
519,"20",18,"male","Aries"
520,"53",46,"female","Libra"
521,"25",69,"male","Capricom"
522,"44",1,"female","Pisces"
523,"78",38,"male","Sagittarius"
524,"37",30,"female","Capricom"
525,"31",30,"male","Leo"
526,"36",43,"male","Aquarius"
527,"34",43,"female","Leo"
528,"23",37,"male","Aquarius"
529,"22",69,"male","Scorpio"
530,"43",29,"female","Libra"
531,"24",27,"male","Libra"
532,"20",27,"female","Virgo"
533,"59",54,"female","Taurus"
534,"43",74,"male","Cancer"
535,"63",26,"male","Virgo"
536,"61",47,"male","Virgo"
537,"65",1,"male","Capricom"
538,"52",5,"female","Taurus"
540,"79",19,"male","Leo"
541,"73",19,"female","Pisces"
542,"79",59,"female","Aquarius"
543,"42",11,"female","Aries"
544,"52",63,"male","Scorpio"
545,"27",75,"female","Libra"
546,"47",7,"male","Virgo"
547,"51",54,"male","Aries"
548,"63",49,"male","Sagittarius"
550,"39",7,"male","Sagittarius"
551,"24",47,"female","Cancer"
552,"66",1,"female","Taurus"
553,"59",1,"male","Aries"
554,"75",30,"female","Aries"
555,"74",30,"male","Libra"
556,"54",29,"male","Cancer"
557,"61",51,"male","Cancer"
558,"80",43,"female","Cancer"
559,"28",32,"female","Virgo"
560,"33",71,"female","Sagittarius"
561,"38",74,"female","Scorpio"
562,"25",49,"female","Virgo"
563,"39",72,"female","Virgo"
564,"45",72,"male","Aquarius"
565,"41",64,"female","Cancer"
566,"54",47,"female","Pisces"
567,"50",47,"male","Taurus"
568,"40",8,"female","Cancer"
569,"38",73,"male","Gemini"
570,"59",61,"female","Aquarius"
571,"76",3,"male","Libra"
572,"80",3,"female","Leo"
573,"33",69,"male","Leo"
574,"28",1,"male","Capricom"
575,"30",58,"male","Aries"
576,"26",58,"female","Taurus"
577,"37",1,"female","Sagittarius"
578,"23",23,"female","Cancer"
579,"67",72,"female","Gemini"
581,"51",70,"female","Aquarius"
582,"50",1,"male","Libra"
583,"35",75,"female","Capricom"
584,"24",33,"female","Taurus"
585,"58",40,"female","Pisces"
586,"53",40,"male","Scorpio"
587,"55",25,"female","Cancer"
588,"40",61,"female","Libra"
589,"39",45,"male","Virgo"
590,"51",44,"male","Aquarius"
591,"26",65,"female","Scorpio"
592,"35",26,"male","Cancer"
593,"46",60,"female","Cancer"
596,"52",69,"male","Scorpio"
597,"57",55,"male","Pisces"
598,"30",1,"male","Capricom"
599,"23",1,"female","Taurus"
601,"34",56,"male","Pisces"
602,"35",56,"female","Capricom"
603,"34",13,"female","Pisces"
604,"35",1,"female","Leo"
605,"30",1,"female","Virgo"
606,"51",10,"female","Aquarius"
607,"36",64,"male","Aries"
608,"28",67,"male","Virgo"
609,"38",52,"male","Virgo"
610,"21",74,"female","Leo"
611,"48",36,"male","Libra"
612,"40",36,"female","Scorpio"
613,"23",1,"female","Leo"
614,"53",14,"female","Aquarius"
615,"51",68,"female","Virgo"
616,"25",58,"male","Capricom"
617,"26",70,"male","Pisces"
618,"68",57,"female","Pisces"
619,"80",6,"male","Virgo"
620,"82",6,"female","Aquarius"
621,"61",54,"male","Pisces"
622,"69",74,"female","Sagittarius"
623,"75",24,"male","Virgo"
624,"68",24,"female","Leo"
625,"22",60,"female","Sagittarius"
626,"20",9,"male","Aries"
627,"28",17,"male","Aries"
628,"30",17,"female","Gemini"
629,"24",16,"male","Pisces"
630,"48",61,"male","Pisces"
631,"44",70,"female","Aries"
632,"54",67,"male","Pisces"
633,"62",67,"female","Gemini"
635,"73",17,"female","Cancer"
636,"65",17,"male","Aquarius"
637,"30",39,"female","Sagittarius"
638,"39",54,"female","Aquarius"
639,"22",31,"male","Leo"
640,"21",26,"male","Aries"
641,"38",40,"female","Cancer"
642,"37",40,"male","Scorpio"
643,"51",1,"female","Gemini"
644,"39",35,"female","Taurus"
645,"75",14,"male","Sagittarius"
646,"78",34,"female","Libra"
647,"71",34,"male","Aries"
648,"65",70,"female","Libra"
649,"22",13,"female","Taurus"
651,"24",54,"female","Aquarius"
652,"62",61,"male","Sagittarius"
653,"70",1,"female","Scorpio"
654,"58",64,"female","Taurus"
655,"58",32,"male","Sagittarius"
656,"44",1,"male","Gemini"
657,"74",8,"female","Cancer"
658,"74",8,"male","Sagittarius"
659,"35",24,"male","Sagittarius"
660,"77",16,"male","Aries"
661,"81",16,"female","Capricom"
662,"55",5,"male","Leo"
663,"77",24,"male","Aquarius"
664,"20",77,"female","Pisces"
665,"68",62,"female","Aries"
666,"18",26,"male","Gemini"
667,"19",26,"female","Cancer"
668,"58",1,"female","Capricom"
669,"44",12,"female","Sagittarius"
670,"41",1,"male","Aquarius"
671,"29",10,"female","Pisces"
672,"71",46,"female","Scorpio"
673,"61",36,"male","Scorpio"
674,"73",11,"female","Capricom"
675,"25",50,"male","Scorpio"
676,"47",70,"male","Aquarius"
677,"37",5,"male","Gemini"
678,"67",39,"female","Gemini"
679,"60",8,"male","Pisces"
680,"60",8,"female","Taurus"
681,"23",15,"male","Capricom"
682,"21",18,"male","Libra"
683,"55",76,"female","Virgo"
684,"24",3,"female","Aries"
685,"70",72,"female","Sagittarius"
686,"29",32,"female","Libra"
687,"25",32,"male","Aquarius"
688,"46",1,"male","Taurus"
689,"36",70,"male","Leo"
690,"58",38,"male","Scorpio"
691,"56",38,"female","Capricom"
692,"64",74,"female","Capricom"
693,"65",74,"male","Pisces"
694,"64",29,"male","Pisces"
695,"45",28,"male","Cancer"
696,"48",28,"female","Sagittarius"
697,"26",1,"male","Pisces"
698,"46",75,"male","Pisces"
699,"78",26,"female","Taurus"
700,"71",12,"male","Scorpio"
702,"32",31,"female","Scorpio"
703,"41",4,"male","Taurus"
704,"25",54,"male","Taurus"
705,"62",19,"male","Sagittarius"
706,"52",1,"male","Leo"
707,"59",1,"male","Sagittarius"
708,"23",50,"female","Sagittarius"
709,"66",1,"male","Capricom"
710,"75",23,"male","Sagittarius"
711,"37",48,"female","Leo"
712,"38",54,"male","Sagittarius"
713,"20",20,"female","Aries"
714,"30",31,"male","Libra"
715,"48",1,"female","Capricom"
716,"46",1,"female","Sagittarius"
717,"32",54,"male","Taurus"
718,"40",54,"female","Pisces"
719,"26",46,"male","Leo"
720,"46",29,"male","Virgo"
721,"60",43,"male","Aquarius"
722,"30",62,"female","Sagittarius"
723,"43",12,"female","Leo"
724,"47",65,"female","Aquarius"
725,"44",75,"male","Sagittarius"
726,"65",16,"male","Aquarius"
727,"70",32,"female","Cancer"
728,"68",32,"male","Aquarius"
729,"31",63,"female","Pisces"
730,"27",63,"male","Leo"
731,"21",74,"female","Aquarius"
732,"22",74,"male","Cancer"
733,"22",46,"male","Leo"
734,"15",46,"female","Capricom"
735,"27",1,"male","Sagittarius"
736,"23",1,"female","Taurus"
737,"48",74,"male","Scorpio"
738,"80",25,"male","Aries"
739,"58",72,"male","Aries"
740,"77",55,"male","Scorpio"
741,"59",74,"male","Cancer"
742,"49",1,"female","Libra"
743,"59",1,"male","Aquarius"
744,"60",26,"male","Cancer"
745,"34",52,"female","Aquarius"
746,"38",52,"male","Aries"
747,"47",24,"female","Leo"
748,"64",25,"male","Libra"
749,"67",25,"female","Leo"
750,"44",70,"female","Libra"
751,"41",70,"male","Pisces"
752,"56",72,"male","Sagittarius"
753,"60",72,"female","Libra"
754,"53",63,"female","Gemini"
755,"53",72,"male","Scorpio"
756,"80",31,"male","Taurus"
757,"30",71,"female","Sagittarius"
758,"39",68,"female","Leo"
759,"45",29,"male","Taurus"
760,"64",57,"female","Virgo"
762,"63",21,"male","Aries"
763,"73",75,"female","Virgo"
764,"45",49,"female","Libra"
765,"31",65,"male","Capricom"
766,"74",1,"female","Cancer"
767,"77",1,"male","Gemini"
768,"69",32,"female","Libra"
769,"23",40,"male","Sagittarius"
772,"56",64,"male","Sagittarius"
773,"65",4,"male","Scorpio"
774,"27",70,"male","Pisces"
775,"60",51,"female","Sagittarius"
776,"47",1,"female","Taurus"
777,"39",1,"male","Taurus"
778,"60",13,"male","Gemini"
779,"56",69,"female","Gemini"
780,"76",3,"male","Pisces"
781,"55",72,"male","Virgo"
782,"37",5,"female","Pisces"
783,"29",27,"female","Aries"
784,"36",27,"male","Capricom"
785,"66",63,"male","Virgo"
786,"22",53,"male","Virgo"
787,"53",3,"male","Sagittarius"
788,"26",47,"male","Virgo"
789,"69",4,"male","Virgo"
790,"33",63,"female","Taurus"
791,"50",68,"female","Libra"
793,"22",21,"male","Aquarius"
794,"21",21,"female","Cancer"
796,"81",1,"male","Virgo"
797,"52",8,"male","Aquarius"
798,"60",27,"female","Aquarius"
799,"64",27,"male","Pisces"
803,"49",35,"male","Aquarius"
804,"44",35,"female","Aquarius"
806,"20",60,"male","Taurus"
807,"31",53,"female","Libra"
808,"37",31,"male","Sagittarius"
809,"81",49,"male","Libra"
810,"55",58,"female","Libra"
811,"60",58,"male","Gemini"
812,"60",39,"male","Sagittarius"
813,"36",70,"male","Aquarius"
814,"41",19,"male","Libra"
815,"36",22,"female","Scorpio"
816,"42",17,"female","Aquarius"
818,"34",54,"male","Taurus"
819,"42",74,"male","Cancer"
820,"40",74,"female","Scorpio"
821,"52",49,"male","Taurus"
822,"41",37,"female","Taurus"
823,"44",41,"male","Scorpio"
824,"48",27,"male","Virgo"
825,"23",74,"male","Aries"
826,"22",1,"male","Aquarius"
827,"35",10,"female","Virgo"
828,"42",10,"male","Capricom"
829,"43",24,"male","Taurus"
830,"52",69,"male","Virgo"
831,"52",2,"male","Taurus"
832,"77",67,"female","Capricom"
833,"40",5,"male","Gemini"
834,"78",54,"male","Sagittarius"
835,"57",28,"female","Libra"
836,"52",28,"male","Gemini"
837,"26",71,"male","Libra"
838,"32",71,"female","Aquarius"
839,"45",47,"female","Taurus"
840,"63",20,"male","Taurus"
841,"19",69,"male","Aquarius"
842,"67",12,"female","Cancer"
843,"43",54,"female","Virgo"
844,"55",22,"male","Capricom"
845,"47",22,"female","Aquarius"
846,"51",35,"male","Sagittarius"
847,"21",49,"male","Capricom"
849,"61",26,"female","Gemini"
850,"31",19,"male","Virgo"
851,"81",25,"male","Gemini"
852,"84",25,"female","Gemini"
853,"51",70,"male","Gemini"
854,"59",72,"female","Scorpio"
855,"70",58,"male","Aquarius"
856,"81",23,"male","Aquarius"
857,"52",32,"male","Pisces"
858,"41",47,"female","Aries"
859,"32",1,"female","Leo"
860,"33",1,"male","Sagittarius"
861,"44",1,"female","Virgo"
862,"48",30,"male","Capricom"
863,"32",54,"female","Sagittarius"
864,"47",11,"male","Aries"
865,"54",11,"female","Scorpio"
866,"25",38,"female","Sagittarius"
870,"43",70,"male","Taurus"
871,"26",76,"male","Pisces"
872,"37",35,"male","Pisces"
873,"56",60,"male","Capricom"
874,"48",14,"female","Virgo"
875,"44",14,"male","Sagittarius"
876,"40",1,"male","Sagittarius"
877,"73",5,"female","Aquarius"
878,"80",5,"male","Aries"
879,"57",38,"female","Sagittarius"
880,"40",49,"male","Aquarius"
881,"25",5,"female","Pisces"
882,"67",70,"female","Virgo"
883,"80",75,"female","Capricom"
884,"82",75,"male","Libra"
885,"77",34,"male","Aquarius"
886,"52",34,"male","Aquarius"
887,"27",66,"female","Sagittarius"
888,"27",28,"male","Scorpio"
889,"19",54,"female","Scorpio"
890,"81",77,"male","Aries"
891,"69",33,"male","Aquarius"
892,"78",42,"female","Gemini"
893,"65",43,"female","Scorpio"
894,"66",75,"male","Leo"
895,"30",39,"male","Cancer"
896,"27",36,"female","Taurus"
897,"19",36,"male","Aries"
898,"57",38,"female","Taurus"
899,"56",38,"male","Aquarius"
900,"23",73,"male","Aries"
901,"81",39,"male","Sagittarius"
902,"50",23,"male","Leo"
903,"66",31,"male","Pisces"
904,"68",1,"male","Aquarius"
905,"60",38,"male","Scorpio"
906,"22",65,"male","Gemini"
907,"52",51,"male","Pisces"
908,"39",51,"female","Pisces"
909,"25",23,"male","Virgo"
910,"39",1,"male","Libra"
